"Date","Price","Open","High","Low","Vol.","Change %"
"02/05/2021","7.7527","7.7527","7.7533","7.7520","","0.00%"
"02/04/2021","7.7527","7.7516","7.7530","7.7512","","0.02%"
"02/03/2021","7.7515","7.7517","7.7519","7.7509","","0.00%"
"02/02/2021","7.7514","7.7530","7.7533","7.7513","","-0.02%"
"02/01/2021","7.7526","7.7530","7.7535","7.7523","","0.00%"
"01/29/2021","7.7528","7.7527","7.7541","7.7522","","0.00%"
"01/28/2021","7.7525","7.7520","7.7536","7.7516","","0.01%"
"01/27/2021","7.7519","7.7520","7.7527","7.7513","","0.00%"
"01/26/2021","7.7519","7.7516","7.7532","7.7509","","0.01%"
"01/25/2021","7.7512","7.7523","7.7526","7.7511","","-0.01%"
"01/22/2021","7.7519","7.7517","7.7527","7.7515","","0.01%"
"01/21/2021","7.7515","7.7519","7.7522","7.7514","","0.00%"
"01/20/2021","7.7517","7.7523","7.7526","7.7513","","-0.01%"
"01/19/2021","7.7523","7.7534","7.7536","7.7515","","-0.01%"
"01/18/2021","7.7534","7.7540","7.7543","7.7530","","-0.01%"
"01/15/2021","7.7538","7.7537","7.7547","7.7530","","0.00%"
"01/14/2021","7.7536","7.7537","7.7544","7.7527","","0.01%"
"01/13/2021","7.7532","7.7547","7.7551","7.7531","","-0.02%"
"01/12/2021","7.7548","7.7555","7.7558","7.7540","","0.00%"
"01/11/2021","7.7551","7.7565","7.7567","7.7534","","-0.02%"
"01/08/2021","7.7563","7.7537","7.7575","7.7524","","0.04%"
"01/07/2021","7.7533","7.7532","7.7540","7.7522","","0.00%"
"01/06/2021","7.7530","7.7533","7.7536","7.7526","","0.00%"
"01/05/2021","7.7531","7.7536","7.7538","7.7524","","0.00%"
"01/04/2021","7.7533","7.7536","7.7541","7.7519","","0.01%"
"01/01/2021","7.7524","7.7526","7.7536","7.7525","","0.00%"
"12/31/2020","7.7523","7.7526","7.7541","7.7510","","0.00%"
"12/30/2020","7.7522","7.7540","7.7544","7.7519","","-0.02%"
"12/29/2020","7.7538","7.7558","7.7561","7.7524","","-0.03%"
"12/28/2020","7.7559","7.7534","7.7561","7.7519","","0.04%"
"12/25/2020","7.7527","7.7536","7.7544","7.7527","","-0.01%"
"12/24/2020","7.7535","7.7531","7.7543","7.7519","","0.01%"
"12/23/2020","7.7529","7.7527","7.7535","7.7521","","0.00%"
"12/22/2020","7.7526","7.7533","7.7536","7.7523","","-0.01%"
"12/21/2020","7.7530","7.7522","7.7541","7.7521","","0.02%"
"12/18/2020","7.7518","7.7523","7.7538","7.7519","","0.00%"
"12/17/2020","7.7520","7.7524","7.7531","7.7519","","0.00%"
"12/16/2020","7.7520","7.7516","7.7530","7.7512","","0.01%"
"12/15/2020","7.7515","7.7519","7.7527","7.7512","","0.00%"
"12/14/2020","7.7518","7.7515","7.7526","7.7507","","0.01%"
"12/11/2020","7.7512","7.7512","7.7520","7.7506","","0.00%"
"12/10/2020","7.7511","7.7516","7.7524","7.7506","","-0.01%"
"12/09/2020","7.7515","7.7510","7.7526","7.7509","","0.01%"
"12/08/2020","7.7511","7.7510","7.7516","7.7506","","0.00%"
"12/07/2020","7.7509","7.7509","7.7515","7.7503","","0.00%"
"12/04/2020","7.7507","7.7512","7.7517","7.7503","","0.00%"
"12/03/2020","7.7509","7.7517","7.7525","7.7508","","-0.01%"
"12/02/2020","7.7516","7.7517","7.7536","7.7514","","0.00%"
"12/01/2020","7.7519","7.7513","7.7531","7.7511","","0.00%"
"11/30/2020","7.7516","7.7508","7.7530","7.7505","","0.01%"
"11/27/2020","7.7507","7.7509","7.7515","7.7505","","0.00%"
"11/26/2020","7.7508","7.7510","7.7513","7.7505","","0.00%"
"11/25/2020","7.7507","7.7516","7.7518","7.7506","","-0.01%"
"11/24/2020","7.7516","7.7519","7.7524","7.7511","","0.00%"
"11/23/2020","7.7518","7.7527","7.7533","7.7513","","-0.01%"
"11/20/2020","7.7522","7.7531","7.7540","7.7519","","-0.01%"
"11/19/2020","7.7531","7.7527","7.7540","7.7516","","0.01%"
"11/18/2020","7.7526","7.7529","7.7533","7.7516","","0.00%"
"11/17/2020","7.7524","7.7534","7.7540","7.7519","","-0.01%"
"11/16/2020","7.7534","7.7538","7.7545","7.7522","","0.00%"
"11/13/2020","7.7536","7.7544","7.7547","7.7528","","-0.01%"
"11/12/2020","7.7542","7.7547","7.7551","7.7533","","0.00%"
"11/11/2020","7.7543","7.7544","7.7551","7.7525","","0.00%"
"11/10/2020","7.7540","7.7523","7.7551","7.7522","","0.02%"
"11/09/2020","7.7523","7.7537","7.7546","7.7523","","-0.01%"
"11/06/2020","7.7534","7.7524","7.7548","7.7519","","0.01%"
"11/05/2020","7.7525","7.7559","7.7562","7.7522","","-0.04%"
"11/04/2020","7.7555","7.7516","7.7574","7.7514","","0.04%"
"11/03/2020","7.7521","7.7501","7.7534","7.7498","","0.03%"
"11/02/2020","7.7500","7.7526","7.7556","7.7498","","-0.02%"
"10/30/2020","7.7516","7.7518","7.7551","7.7512","","0.00%"
"10/29/2020","7.7515","7.7503","7.7539","7.7500","","0.02%"
"10/28/2020","7.7500","7.7501","7.7503","7.7498","","0.00%"
"10/27/2020","7.7500","7.7501","7.7502","7.7498","","0.00%"
"10/26/2020","7.7500","7.7503","7.7504","7.7497","","0.00%"
"10/23/2020","7.7500","7.7501","7.7503","7.7498","","0.00%"
"10/22/2020","7.7500","7.7501","7.7503","7.7498","","0.00%"
"10/21/2020","7.7500","7.7501","7.7502","7.7498","","0.00%"
"10/20/2020","7.7500","7.7501","7.7503","7.7498","","0.00%"
"10/19/2020","7.7500","7.7506","7.7506","7.7498","","0.01%"
"10/16/2020","7.7495","7.7502","7.7503","7.7497","","-0.01%"
"10/15/2020","7.7501","7.7502","7.7503","7.7498","","0.00%"
"10/14/2020","7.7500","7.7501","7.7503","7.7498","","0.00%"
"10/13/2020","7.7500","7.7501","7.7503","7.7498","","0.00%"
"10/12/2020","7.7500","7.7501","7.7505","7.7498","","0.00%"
"10/09/2020","7.7499","7.7502","7.7503","7.7498","","0.00%"
"10/08/2020","7.7501","7.7501","7.7503","7.7498","","0.00%"
"10/07/2020","7.7500","7.7500","7.7503","7.7498","","0.00%"
"10/06/2020","7.7499","7.7501","7.7504","7.7498","","0.00%"
"10/05/2020","7.7500","7.7505","7.7508","7.7498","","0.00%"
"10/02/2020","7.7498","7.7502","7.7507","7.7498","","0.00%"
"10/01/2020","7.7496","7.7501","7.7506","7.7498","","0.00%"
"09/30/2020","7.7496","7.7501","7.7505","7.7497","","0.00%"
"09/29/2020","7.7497","7.7501","7.7504","7.7498","","0.00%"
"09/28/2020","7.7496","7.7499","7.7506","7.7498","","0.00%"
"09/25/2020","7.7498","7.7502","7.7505","7.7498","","0.00%"
"09/24/2020","7.7499","7.7501","7.7505","7.7498","","0.00%"
"09/23/2020","7.7496","7.7501","7.7504","7.7498","","0.00%"
"09/22/2020","7.7496","7.7501","7.7505","7.7498","","0.00%"
"09/21/2020","7.7496","7.7503","7.7504","7.7498","","-0.01%"
"09/18/2020","7.7500","7.7501","7.7502","7.7499","","0.00%"
"09/17/2020","7.7500","7.7502","7.7502","7.7498","","0.00%"
"09/16/2020","7.7501","7.7501","7.7503","7.7499","","0.00%"
"09/15/2020","7.7500","7.7502","7.7503","7.7499","","0.00%"
"09/14/2020","7.7501","7.7502","7.7505","7.7499","","0.00%"
"09/11/2020","7.7499","7.7503","7.7506","7.7499","","0.00%"
"09/10/2020","7.7500","7.7506","7.7509","7.7501","","0.00%"
"09/09/2020","7.7503","7.7505","7.7509","7.7501","","0.00%"
"09/08/2020","7.7501","7.7502","7.7507","7.7501","","0.00%"
"09/07/2020","7.7498","7.7504","7.7507","7.7500","","-0.01%"
"09/04/2020","7.7503","7.7502","7.7511","7.7499","","0.01%"
"09/03/2020","7.7499","7.7501","7.7508","7.7499","","0.00%"
"09/02/2020","7.7499","7.7501","7.7505","7.7498","","0.00%"
"09/01/2020","7.7500","7.7502","7.7505","7.7498","","0.00%"
"08/31/2020","7.7501","7.7502","7.7505","7.7498","","0.00%"
"08/28/2020","7.7504","7.7502","7.7507","7.7498","","0.01%"
"08/27/2020","7.7500","7.7504","7.7505","7.7498","","0.00%"
"08/26/2020","7.7503","7.7504","7.7506","7.7499","","0.00%"
"08/25/2020","7.7503","7.7501","7.7506","7.7500","","0.00%"
"08/24/2020","7.7500","7.7503","7.7506","7.7498","","0.00%"
"08/21/2020","7.7499","7.7501","7.7506","7.7499","","0.00%"
"08/20/2020","7.7500","7.7502","7.7505","7.7498","","0.00%"
"08/19/2020","7.7501","7.7502","7.7505","7.7498","","0.00%"
"08/18/2020","7.7501","7.7505","7.7506","7.7500","","0.00%"
"08/17/2020","7.7504","7.7509","7.7512","7.7501","","0.00%"
"08/14/2020","7.7507","7.7505","7.7510","7.7501","","0.01%"
"08/13/2020","7.7503","7.7513","7.7515","7.7500","","-0.01%"
"08/12/2020","7.7513","7.7502","7.7515","7.7500","","0.02%"
"08/11/2020","7.7501","7.7502","7.7505","7.7498","","0.00%"
"08/10/2020","7.7501","7.7502","7.7506","7.7498","","0.00%"
"08/07/2020","7.7503","7.7502","7.7506","7.7498","","0.00%"
"08/06/2020","7.7501","7.7502","7.7505","7.7500","","0.00%"
"08/05/2020","7.7500","7.7501","7.7506","7.7499","","0.00%"
"08/04/2020","7.7500","7.7503","7.7506","7.7499","","0.00%"
"08/03/2020","7.7503","7.7505","7.7508","7.7499","","0.00%"
"07/31/2020","7.7502","7.7500","7.7508","7.7498","","0.00%"
"07/30/2020","7.7500","7.7500","7.7505","7.7498","","0.00%"
"07/29/2020","7.7500","7.7503","7.7506","7.7498","","0.00%"
"07/28/2020","7.7503","7.7513","7.7516","7.7500","","-0.01%"
"07/27/2020","7.7513","7.7516","7.7521","7.7509","","0.00%"
"07/24/2020","7.7514","7.7515","7.7522","7.7509","","0.01%"
"07/23/2020","7.7508","7.7522","7.7525","7.7505","","-0.02%"
"07/22/2020","7.7520","7.7508","7.7526","7.7505","","0.02%"
"07/21/2020","7.7505","7.7519","7.7523","7.7501","","-0.02%"
"07/20/2020","7.7517","7.7538","7.7543","7.7515","","-0.03%"
"07/17/2020","7.7539","7.7531","7.7547","7.7525","","0.02%"
"07/16/2020","7.7527","7.7523","7.7550","7.7517","","0.01%"
"07/15/2020","7.7519","7.7512","7.7535","7.7502","","0.01%"
"07/14/2020","7.7510","7.7508","7.7516","7.7502","","0.01%"
"07/13/2020","7.7506","7.7527","7.7527","7.7503","","-0.02%"
"07/10/2020","7.7524","7.7501","7.7527","7.7500","","0.03%"
"07/09/2020","7.7500","7.7501","7.7503","7.7499","","0.00%"
"07/08/2020","7.7500","7.7501","7.7503","7.7499","","0.00%"
"07/07/2020","7.7501","7.7501","7.7502","7.7499","","0.00%"
"07/06/2020","7.7500","7.7503","7.7504","7.7499","","0.01%"
"07/03/2020","7.7492","7.7503","7.7506","7.7495","","-0.01%"
"07/02/2020","7.7501","7.7508","7.7511","7.7500","","-0.01%"
"07/01/2020","7.7506","7.7505","7.7511","7.7502","","0.00%"
"06/30/2020","7.7505","7.7505","7.7508","7.7498","","0.00%"
"06/29/2020","7.7504","7.7503","7.7508","7.7501","","0.00%"
"06/26/2020","7.7503","7.7505","7.7507","7.7498","","0.00%"
"06/25/2020","7.7504","7.7503","7.7508","7.7500","","0.00%"
"06/24/2020","7.7502","7.7502","7.7507","7.7498","","0.00%"
"06/23/2020","7.7500","7.7505","7.7506","7.7498","","-0.01%"
